Time_history,T_aero_1,T_aero_2,T_aero_3,F_aero_1,F_aero_2,F_aero_3,Cdrag_1,Cdrag_2,Cdrag_3,Cdrag_4,Cdrag_5,Cdrag_6,Cdrag_7,Cdrag_8,Cdrag_9,Cdrag_10,Cdrag_11,Cdrag_12,Cdrag_13,Cdrag_14,Cdrag_15,Cdrag_16,Cdrag_17,Cdrag_18,Cdrag_19,Cdrag_20,Cdrag_21,Cdrag_22,Cdrag_23,Cdrag_24,Cdrag_25,Cdrag_26,Cdrag_27,Cdrag_28,Cdrag_29,Cdrag_30,Cdrag_31,Cdrag_32,Cdrag_33,Cdrag_34,Cdrag_35,Clift_1,Clift_2,Clift_3,Clift_4,Clift_5,Clift_6,Clift_7,Clift_8,Clift_9,Clift_10,Clift_11,Clift_12,Clift_13,Clift_14,Clift_15,Clift_16,Clift_17,Clift_18,Clift_19,Clift_20,Clift_21,Clift_22,Clift_23,Clift_24,Clift_25,Clift_26,Clift_27,Clift_28,Clift_29,Clift_30,Clift_31,Clift_32,Clift_33,Clift_34,Clift_35
4.71645546778896e-05,-3.88326635713142e-10,-4.35417338668049e-06,6.04579971971912e-06,6.15275774211355e-13,-1.1851076010804e-05,-8.53593938033105e-06,2.63472532409938e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467013092e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.43752135147997e-05,-3.88326635713259e-10,-4.35417338637241e-06,6.04579971941073e-06,1.23114872241176e-12,-1.18510760108024e-05,-8.53593938033013e-06,2.63472532514036e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265467002866e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00018879653118862,-3.88326635713175e-10,-4.35417338575623e-06,6.04579971879386e-06,2.46288181070156e-12,-1.18510760107992e-05,-8.53593938032818e-06,2.63472532735982e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265466981097e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00037763916653626,-3.8832663571349e-10,-4.3541733845238e-06,6.04579971755986e-06,4.92629675483701e-12,-1.1851076010792e-05,-8.53593938032414e-06,2.63472533230882e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265466932694e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000755324437231541,-3.88326635713016e-10,-4.35417338205847e-06,6.04579971509053e-06,9.85292171333007e-12,-1.1851076010775e-05,-8.53593938031495e-06,2.63472534432077e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265466815702e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0015106949786221,-3.88326635711942e-10,-4.35417337712596e-06,6.04579971014651e-06,1.97053519111949e-11,-1.18510760107296e-05,-8.5359393802921e-06,2.63472537679099e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265466501066e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00302143606140322,-3.88326635705996e-10,-4.35417336725397e-06,6.04579970023766e-06,3.94069334303649e-11,-1.18510760105948e-05,-8.53593938022952e-06,2.63472547540784e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265465550256e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00604291822696547,-3.88326635680289e-10,-4.35417334748156e-06,6.04579968033613e-06,7.87969809618552e-11,-1.1851076010148e-05,-8.53593938003579e-06,2.63472580733333e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265462362587e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01208588255809,-3.88326635573646e-10,-4.35417330782355e-06,6.04579964019891e-06,1.5752461399258e-10,-1.18510760085481e-05,-8.53593937937504e-06,2.63472700881393e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265450853937e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0241718112203389,-3.88326635139436e-10,-4.35417322805664e-06,6.04579955859429e-06,3.14770031886304e-10,-1.18510760025354e-05,-8.53593937696403e-06,2.63473155380527e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34265407384458e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
