Time_history,State_history_1,State_history_2,State_history_3,State_history_4,State_history_5,State_history_6,State_history_7,State_history_8,State_history_9,State_history_10,State_history_11,State_history_12,State_history_13,ang_of_attack,sideslip,aoa_tot,vr_1,vr_2,vr_3
0,6778100,0,0,-0,5422.50428837174,5422.50428837174,0,0,0,1,0,0,0,90,90,90,0,4928.23738055384,5422.50428837174
4.610415902042e-08,6778100,0.00025,0.00025,-4.00576973170377e-07,5422.50428837174,5422.50428837174,-2.46054755298094e-23,-4.87511178310585e-20,7.76622788639273e-20,1,-2.13477274524508e-15,-4.22965032803105e-12,6.73798464295296e-12,90.00000000404,90.0000000044452,90.0000000029897,-3.82346682126194e-07,4928.23738055384,5422.50428837174
1.3831247706126e-07,6778100,0.00075,0.00075,-1.20173091951113e-06,5422.50428837174,5422.50428837174,-2.21449279768285e-22,-4.38760060479878e-19,6.98960509775961e-19,1,-6.40431823573525e-15,-1.26889509841037e-11,2.02139539288774e-11,90.00000001212,90.0000000133355,90.0000000089691,-1.14704003861349e-06,4928.23738055384,5422.50428837174
3.2272911314294e-07,6778100,0.00175,0.00175,-2.80403881219264e-06,5422.50428837174,5422.50428837174,-1.20566830096067e-21,-2.38880477372649e-18,3.80545166434054e-18,1,-1.49434092167157e-14,-2.96075522962912e-11,4.71658925008002e-11,90.0000000282799,90.0000000311162,90.000000020928,-2.67642672052769e-06,4928.23738055384,5422.50428837174
6.915623853063e-07,6778100,0.00375,0.00375,-6.00865459755565e-06,5422.50428837173,5422.50428837173,-5.53623199420725e-21,-1.09690015120338e-17,1.74740127444636e-17,1,-3.20215911786777e-14,-6.34447549208354e-11,1.01069769644942e-10,90.0000000605998,90.0000000666776,90.0000000448456,-5.73519996011457e-06,4928.23738055383,5422.50428837173
1.42922892963302e-06,6778100,0.00774999999999999,0.00774999999999999,-1.24178861682817e-05,5422.50428837173,5422.50428837173,-2.36458619841492e-20,-4.68498242360501e-17,7.46334499889398e-17,1,-6.61779551026104e-14,-1.31119160170599e-10,2.08877523934409e-10,90.0000001252396,90.0000001378003,90.000000092681,-1.18527459423222e-05,4928.23738055383,5422.50428837173
2.90456201828646e-06,6778100,0.01575,0.01575,-2.52363493097337e-05,5422.50428837172,5422.50428837172,-9.76591323778532e-20,-1.93493186674853e-16,3.0824158481685e-16,1,-1.3449068295055e-13,-2.66467970672831e-10,4.24493032518077e-10,90.0000002545192,90.0000002800456,90.0000001883516,-2.40878359188731e-05,4928.23738055382,5422.50428837172
5.85522819559334e-06,6778100,0.0317499999999999,0.0317499999999999,-5.08732755926377e-05,5422.5042883717,5422.50428837171,-3.9686171482096e-19,-7.86306779524846e-16,1.2526148958448e-15,1,-2.71116138647043e-13,-5.37165591688108e-10,8.55724049704352e-10,90.0000005130782,90.0000005645363,90.0000003796929,-4.85580079205169e-05,4928.2373805538,5422.50428837171
1.17565605502071e-05,6778100,0.0637499999999995,0.0637499999999996,-0.000102147128158446,5422.50428837166,5422.50428837167,-1.59997104633694e-18,-3.17004143718883e-15,5.04998968351962e-15,1,-5.4436705004493e-13,-1.07856083376191e-09,1.71818608415265e-09,90.000001030196,90.0000011335173,90.0000007623751,-9.74983201179732e-05,4928.23738055376,5422.50428837167
2.35592252594346e-05,6778100,0.127749999999998,0.127749999999998,-0.00020469483329006,5422.50428837158,5422.50428837161,-6.42500637599265e-18,-1.27299406409682e-14,2.02792519223876e-14,1,-1.09086887287896e-12,-2.16135131808252e-09,3.4431101533522e-09,90.0000020644302,90.0000022714778,90.0000015277386,-0.00019537881728956,4928.23738055368,5422.50428837161
4.71645546778896e-05,6778099.99999999,0.255749999999992,0.255749999999994,-0.000409790243553286,5422.50428837141,5422.50428837148,-2.57503437035072e-17,-5.10194586070987e-14,8.12758270625437e-14,1,-2.18387251885547e-12,-4.3269322874159e-09,6.8929582929635e-09,90.0000041328932,90.0000045473928,90.0000030584616,-0.000391139302739433,4928.23738055351,5422.50428837148
9.43752135147997e-05,6778099.99999996,0.511749999999969,0.511749999999975,-0.000819981064079724,5422.50428837106,5422.5042883712,-1.03102085058655e-16,-2.04277372811768e-13,3.25421180059298e-13,1,-4.36987981327641e-12,-8.65809422885111e-09,1.37926545770344e-08,90.0000082697978,90.0000090991992,90.0000061198917,-0.000782658238065968,4928.23738055317,5422.5042883712
0.00018879653118862,6778099.99999985,1.02374999999987,1.0237499999999,-0.00164036270513254,5422.50428837033,5422.5042883706,-4.12609835006475e-16,-8.17508714615677e-13,1.3023206974526e-12,1,-8.74189442186784e-12,-1.73204181227946e-08,2.75920471645679e-08,90.0000165435208,90.0000182027174,90.0000122426883,-0.00156568796642619,4928.23738055244,5422.5042883706
0.00037763916653626,6778099.99999938,2.04774999999945,2.04774999999955,-0.00328112598723788,5422.50428836867,5422.50428836921,-1.65084241084514e-15,-3.27083345424141e-12,5.21055498211066e-12,1,-1.74859237970629e-11,-3.46450659549741e-08,5.51908324171987e-08,90.0000330906228,90.0000364093752,90.0000244880266,-0.00313171485397513,4928.2373805508,5422.50428836922
0.000755324437231541,6778099.99999752,4.09574999999756,4.09574999999796,-0.00656265255144716,5422.50428836462,5422.50428836568,-6.60417597820622e-15,-1.30849311770807e-11,2.08447645850873e-11,1,-3.49739838116933e-11,-6.92943617964934e-08,1.10388403232677e-07,90.0000661834501,90.0000728211761,90.0000489776847,-0.00626363835238621,4928.23738054682,5422.50428836575
0.0015106949786221,6778099.99999009,8.19174999998824,8.19174999998985,-0.013125705679858,5422.50428835353,5422.50428835565,-2.64183185662326e-14,-5.23429197532255e-11,8.33841481990247e-11,1,-6.99501139550724e-11,-1.38592954188099e-07,2.20783546104195e-07,90.0001323635986,90.0001456387194,90.0000979529262,-0.0125269642424548,4928.23738053606,5422.50428835591
0.00302143606140322,6778099.99996034,16.383749999937,16.3837499999434,-0.0262518119366321,5422.50428831945,5422.50428832365,-1.05676534205825e-13,-2.09378070676096e-10,3.33546775244707e-10,1,-1.39902455156903e-10,-2.77190141804999e-07,4.41573836807031e-07,90.000264701871,90.0002912495726,90.0001958871103,-0.0250515315955264,4928.23738050331,5422.5042883247
0.00604291822696547,6778099.99984136,32.7677499996201,32.7677499996453,-0.0525040244498548,5422.50428820371,5422.50428821192,-4.22713145748318e-13,-8.37525077590628e-10,1.33420748608051e-09,1,-2.79807784886575e-10,-5.54384528368934e-07,8.83154438032437e-07,90.0005292903171,90.0005823743446,90.0003916902829,-0.0500923285929986,4928.23738039293,5422.50428821617
0.01208588255809,6778099.99936544,65.5357499974579,65.5357499975557,-0.10500844947392,5422.50428778186,5422.50428779755,-1.69087442447952e-12,-3.35012599153399e-09,5.3368708742945e-09,1,-5.59623622979978e-10,-1.10877334678026e-06,1.76631571960623e-06,90.0010581148145,90.001164236151,90.0007830358456,-0.100140571749994,4928.23737999296,5422.50428781489
